nomeFantasia,previsao_risco
Rachel Harris-Reynolds,0
Francesca Nolan,0
Dr. Bruce Gould,0
Francesca Nolan,1
Holly Carroll,0
Dr. Katy Kirk,0
Michelle Randall,0
Bradley Brooks,0
Michael Vaughan,0
Cheryl Lee,0
Colin Rice,1
Trevor Read,0
Ms. Kirsty Powell,0
Clifford Jones-Gill,1
Denise Harrison,0
Max Wood,0
Ms. Charlotte Reeves,1
Jade Gould-Abbott,0
Jade Gould-Abbott,0
Jane Patel,0
Tina Barker,0
Ms. Amanda Roberts,0
Jordan Rose,1
Dr. Marian Horton,0
Dr. Peter Bryan,0
Mr. Brett Kelly,0
Miss Annette Begum,0
Colin Evans,0
Robin Thompson,1
Roy Oliver,0
Marian Day,0
Louis King,0
Ms. Marie Smith,0
Julian Rogers,1
Emma Gardner,1
Natalie King,0
Dr. Alison Little,0
Martyn Patel,1
Mrs. Ruth Miles,0
Glen Lynch,1
Nicola Wells,1
Leonard Phillips-Wells,1
Marilyn Naylor,0
Ms. Amanda Roberts,0
Miss Tracy Cole,0
Tracy Collins,0
Tracy Collins,0
Tracy Collins,0
Gordon Edwards,0
Ronald Wood,0
Anne Welch-Campbell,0
Mrs. Jasmine Lynch,1
Alex Bailey,0
Dr. Russell Lewis,0
Linda Bradley,0
Ms. Diana Ashton,0
Rosie Saunders,0
Martin Price-Collins,1
Edward Barrett,0
Dr. Alexandra Smith,0
Sylvia Holloway,1
Amy Barry-White,1
Declan Richardson-Jones,0
Jemma Higgins,0
Stacey West,0
Miss Sandra Green,0
Duncan Patel,0
Maria Dyer,0
Mr. Lee Reynolds,0
Mr. Robin Smith,0
Dr. Sean Warner,0
Dorothy Brown,1
Emma Gardner,1
Rachel Law,0
Naomi Bates-Thomas,0
Tina Hobbs,0
Martin Price-Collins,0
Clare Patel,1
Karen Jones,0
Danny Bell,0
Richard Coleman,0
Dennis West,1
Julian Rogers,1
Frances Doyle,0
Kerry Bowen,0
Maureen Roberts,1
Anne Welch-Campbell,0
Marilyn Naylor,0
Terry Carter,0
Jack Hall,0
Alexandra Bailey,0
Miss June Morris,0
Miss Yvonne Peters,0
Mrs. Suzanne Kemp,0
Tina Day-Walker,1
Mr. Conor Jones,1
Ms. Gemma Khan,0
Raymond Hill,0
Grace Wood,0
Marian Richards,0
Dr. Marian Smith,0
Alex Bailey,0
Terry Carter,0
Dr. Kenneth McDonald,0
Miss Nicole Baldwin,0
Janice Davis,0
Terence Kirby,1
Marilyn Naylor,0
Mrs. Sally Walker,1
Dr. Brian Bryan,0
Maria Dyer,0
Peter Sutton,0
Dr. Mitchell Walton,0
Josh Kaur-Schofield,0
Lucy Rahman,0
Dr. Julia Mills,1
Beth Arnold,0
Ryan Fry-Mason,0
Jake Bradley,0
Denis Moore,0
Dr. Stuart Johnson,0
Marc Bibi-Jones,0
Ms. Lydia Russell,1
Antony Osborne,0
Ms. Valerie Saunders,0
Gregory Shaw,0
Annette Perkins,1
Diana Brookes,0
Mr. Robin Patel,0
Jean Garner,0
Julia North,0
Mitchell Robinson,0
Martin Price-Collins,0
Iain Brown-Taylor,1
Beth George,0
Steven Kennedy-Jones,0
Leanne Stewart,0
Clare Rees-Moss,0
Miss Shirley Noble,1
Clare Wright,0
Harriet Kirk,0
Maureen Roberts,1
Marian Richards,0
Mr. Conor Jones,1
Maria Dyer,0
Antony Bennett,0
Michelle Bailey,1
Mrs. Susan Jones,0
Vanessa Clarke-Lees,0
Mrs. Geraldine Gray,0
Dale Knight,0
Sandra Campbell,0
Jordan Stevens,0
Pauline Phillips,0
James Marshall-Manning,0
Mr. Josh White,1
Mandy Gordon,0
Dawn Phillips,0
Katy Page,0
Annette Perkins,1
Harriet Jones,0
Dr. Allan Parsons,0
Victor Shah,0
Dr. Sean Warner,0
Dominic Hill,1
Christopher Morris,0
Garry Collier,0
Jemma Higgins,0
Carole Pickering,0
Miss June Morris,0
Derek Robinson-Davies,1
Dr. Kathryn McDonald,0
Donna Taylor,0
Harriet Jones,1
Harriet Kirk,0
Miss Jane Price,0
Jade Price,0
Tina Sharp,0
Joe Rowe-Jennings,1
Paula Bennett,0
Carolyn Jarvis,0
Ms. Marilyn Saunders,0
Dr. Heather Buckley,0
Stephen Armstrong,0
Diana Summers,0
Dale Lowe,0
Matthew Begum,0
Nicholas Hunt,1
Hazel Dennis,0
Ms. Sophie Perry,0
Gary Cox,0
Lisa Cameron,1
Paige Lloyd,0
Shaun Walters-Hall,0
Ms. Leah Bennett,0
Damien Pearce,0
Victor Brown-James,0
Arthur Edwards,0
Dr. Timothy Curtis,0
Dr. Sylvia Allen,1
Howard Jennings,0
Harry Robinson,0
Elliott Morris,0
David Franklin-Harris,0
Elaine Kaur,0
Lynne Richardson,0
Leanne Perry,0
Dr. Philip Weston,0
Mr. Ben Knight,0
Mr. Glenn Pugh,0
Paula Bowen-Walker,0
Lawrence Moore-Smith,0
Mr. Kenneth Richards,0
Ms. Carly Todd,0
Samuel Smith-Watts,0
Jayne Bentley,0
Dominic Hill,0
Mrs. Victoria Hall,0
Dr. Glenn Rhodes,0
Sarah Hughes-Wright,0
Janet Edwards-Noble,0
Dr. Lee Marshall,1
Frank Bennett,0
Henry Shah,0
Ruth Thomas,1
Dr. Steven Dobson,0
Gavin Singh,1
Kayleigh Jones-Kelly,0
Mohammed Cook,0
Mr. David Kemp,1
Miss Sharon Wood,0
Grace Lambert,0
Mr. Lee Reynolds,0
Victor Davidson,0
Frank Matthews-Adams,0
Julian Norman-Davis,0
Nigel Wells,0
Jayne Bentley,0
Mr. Ross Day,0
Ms. Valerie Saunders,0
Ellie Payne,0
Jeffrey Johnson,0
Ms. Lydia Foster,0
Shane Mann,1
Jane Williams,1
Dr. Steven Dobson,0
Dale Lowe,0
Glen Lynch,1
Ronald Smith-Davey,0
Colin Butcher,1
Ms. Marie Jones,0
Mr. Ricky Patel,0
Terry Carter,0
Dominic Taylor,1
Cameron Goddard,1
Katy Page,0
Dr. Kyle Harris,1
Mr. Adrian Morley,0
Luke Mitchell-Bates,0
Dominic Hill,0
Reece Rogers,1
Jeffrey Johnson,0
Hazel Dennis,0
Shaun Fuller,1
Dr. Ruth Kaur,0
Mrs. Michelle Stephens,1
Rachel Ali-Baker,0
Stanley Gray,0
Victor Stokes,0
Ms. Amanda Roberts,0
Victor Dennis,1
Allan Stokes,0
Mrs. Brenda Howell,0
Linda Bradley,0
Dr. Brenda Smith,0
Jill Morgan,0
Ricky Rogers,0
Michelle Carey,0
Dr. Leah Giles,0
Gavin Singh,1
Miss Sharon Wood,0
Benjamin Clark-Webb,0
Cameron Goddard,1
Victor Davidson,0
Dominic Taylor,1
Lawrence Moore,0
Judith Patel,0
Nicholas Davies,0
Joanne Cox,0
Mr. Robin Patel,0
Mr. Robin Patel,0
Dr. Simon Williams,1
Miss Emma McDonald,0
Henry Carr,1
Andrea Holmes,0
Henry Murphy,0
Ms. Angela Hall,0
Mr. Charles Thomas,0
Mrs. Brenda Howell,0
Geraldine Kennedy,0
Dr. Charles Thompson,0
Ms. Rachel Morley,0
Charles Jones-Roberts,1
Stephen Kelly,0
Alexander Ashton,1
Dr. Abdul Cross,1
Henry Murphy,0
Ms. Zoe Ryan,0
Molly Smith,0
Mr. Sean Curtis,0
Ashleigh Thompson,0
Dr. Abdul Cross,0
Mrs. Charlotte Nelson,0
Francis Morris,1
Harriet Kirk,0
Vincent Baldwin-Long,0
Dr. Mohammed Robinson,0
Dr. Joe Osborne,0
Elaine Ford,1
Kerry Bowen,0
Alison Davidson,0
Harry Ali,1
Dr. Luke Marsh,1
Mrs. Michelle Stephens,1
Edward Singh,0
Jennifer Freeman-Barrett,0
Miss Kerry Kirk,0
Alexandra Bailey,0
Dr. Russell Lewis,0
Graham Collins-Pugh,0
Douglas Williams,0
Mr. Bryan Johnson,0
Lynne Fisher,1
Donna Taylor,0
Dr. Josephine Scott,0
Jayne Bentley,0
Joel Law,1
Mrs. Sarah Murphy,0
Ms. Kate Forster,0
Danielle Jackson,0
Eleanor Wilson,1
Samuel Cross,0
Jonathan Johnson,0
Clifford Kennedy,0
Allan Gardner,0
Ms. Ann Allen,1
Shannon Thomas,1
Jeremy Savage,0
Kyle Dixon,1
Ricky Smith,1
Paul Parkes,0
Eleanor Wilson,1
Allan Gardner,0
Mr. Ben Knight,0
Marion Wells-James,0
Samuel Williams-Dawson,0
Mr. Ben Knight,0
Yvonne Goddard,0
Dr. Edward Stevenson,0
Lesley Jones,0
Mr. Guy Lamb,0
Louis O'Donnell,1
Sheila Jones-Blake,1
Mr. Leslie Taylor,0
Dr. Bethany Stephens,1
Joel Wilkinson,0
Oliver Robinson,0
Alexandra Doherty,0
Zoe Gould-Jordan,0
Lorraine Fox-Evans,0
Nathan Jones,0
Antony Bennett,0
Vanessa Shah-Price,1
Chloe Cameron,0
Mandy Shaw,0
Nicholas Hunt,1
Marilyn Mills,0
Kyle Martin,0
Louis Hunter,0
Vanessa Shah-Price,0
Alexander Harper,0
Jennifer Freeman-Barrett,0
Mohamed Woodward,0
Eleanor Wilson,1
Mr. Stanley Pearson,0
Bradley Smith,0
Dr. Rebecca Marsh,0
Gerald Jones-Wilson,0
Ms. Gemma Edwards,0
Dr. Neil Martin,0
Mrs. Jemma Shah,1
Dr. Hilary Robinson,0
Nathan Jones,1
Barbara Holmes,1
Nicole Collins,0
Mrs. Debra Harding,1
James Davies,1
Callum Hopkins,1
Dr. Stuart Johnson,1
Martyn Patel,1
Teresa Parkinson,1
Elliott Jones,1
Debra Jarvis,1
Billy Davies-Shaw,1
Shane Gardner,1
Mrs. Anne Morris,1
Carolyn Adams,1
Karen Allen,1
Georgina Saunders,1
Ian Baker,1
Teresa Parkinson,1
Ms. Charlene Vincent,0
Lindsey Robinson,0
Kelly Gibson,1
Janet Owen,1
Mrs. Olivia Jones,0
Janet Owen,1
Diana Davis-Graham,0
Kimberley Murray,1
Sheila Jones-Blake,1
Rebecca Hall,0
Georgia Booth,1
Charlene Jones,1
Elaine Ford,1
Hilary Russell,1
Dr. Simon Cooper,1
Yvonne Green,0
Frederick Brown,1
Charlene Jones,0
Teresa Ward,1
Mrs. Marie Dunn,1
Teresa Parkinson,1
Harry Robinson,0
Robert Hall,0
Mr. Brett Williams,1
Mr. Guy Lamb,0
Mr. Timothy Clayton,0
Lawrence Nicholson,0
Mrs. Marie Dunn,1
Andrea Wade-Stewart,0
Joel Taylor-Parry,0
Mrs. Gail O'Connor,1
Raymond Parker,1
Louis Cooper,1
Lorraine Hughes,0
Dr. Mohamed Phillips,1
Dr. Mohamed Phillips,0
Andrea Thomas,0
Derek Kelly-Barker,0
Beverley Marshall-Archer,0
Bradley Lambert,1
Miss Sandra Green,0
Stacey West,0
Danielle Jackson,0
Frederick Brown,0
Scott Taylor,1
Alison Davidson,0
Grace Lambert,0
Lynda Yates,0
Dr. Brandon Foster,0
Frederick Brown,1
George Smith,0
Mrs. Jessica Bird,0
Maureen Roberts,1
Miss Sandra Stevens,0
Beverley Marshall-Archer,0
Ms. Elizabeth Hicks,1
Aaron Hall-Phillips,0
Aaron Hall-Phillips,0
Jane Williams,1
James Davies,0
Dr. Simon Williams,1
Bradley Lambert,1
Andrea Murphy,0
Paula Bennett,1
Mr. Richard Andrews,1
Zoe Vaughan-Turner,1
Clifford Evans,1
Holly Jones,0
Paula Bennett,0
Brandon Lewis,1
Paige Davies-Simpson,0
Lynda Yates,0
Nicole Evans,0
Jill Andrews-Greenwood,0
Rachel Harris-Reynolds,0
Allan Gardner,0
Lesley Lyons,0
Nicole Collins,0
Nicole Collins,0
Nicole Collins,0
Kelly Gibson,0
Lauren Williams,0
Anne Payne,0
Martin Wilson,1
Toby Coleman,0
Kathleen Wallis,0
Mrs. Hollie Clark,0
Paige Robinson,0
Pamela Owens-Moran,1
Jemma Hawkins,1
Antony Wells,0
Joyce Fleming,0
Janet Owen,0
Mitchell Young,0
Iain Smith-Gardiner,1
Laura Shaw-Turner,0
Dr. Rachel Armstrong,0
Leslie Horton,0
Jay Gibbs-Berry,0
Lynda McCarthy,1
Gordon Richards,0
Dr. Eric Mills,1
Tony Cooper-Clarke,0
Mrs. Debra Harding,0
Marcus Brown,0
Terry Perry,0
Lynda McCarthy,0
Charlie Smart,0
Gail Smith,1
Ms. Nicola Adams,0
Laura Shaw-Turner,0
Matthew Carter-Smith,0
Nicola Hall,0
Mr. Joshua Bell,0
Mitchell Young,0
Miss Tracy Cole,0
Marion Murphy,0
Mr. Raymond Potts,0
Jane Leonard,0
Sean Ali,0
Dr. Peter Bryan,0
Douglas Wilson-Simpson,0
Elliot Marshall,0
Linda Thomas,0
Connor Lloyd-Banks,1
Gail Smith,1
Julie King,0
Ms. Elizabeth Hicks,1
Miss Sandra Stevens,0
Alexander Saunders,0
Michelle Bailey,1
Abigail Fox,0
Mrs. Jasmine Lynch,1
Jenna King,0
Elliott Thompson,0
Karl Phillips,0
Nicole Shah,0
Mr. Jason Harding,0
Roger Blake,0
Carolyn Sutton-Morris,0
Garry Collier,0
Yvonne Garner,0
Barry Nicholls-Winter,0
Barry Nicholls-Winter,0
Kelly Gibson,0
Ms. Eileen Chambers,0
James Davies,0
Kevin Ross,0
Geoffrey Smith,0
Peter Sutton,0
Katherine O'Brien,1
Andrea Thomas,0
Sheila Jones-Blake,0
Jay Gibbs-Berry,0
Iain Knowles,0
Yvonne Garner,0
Dale Knight,0
Kathleen Thomas,0
Alison Stone,0
Lynda McCarthy,0
Miss Mandy Richardson,0
Daniel Davies-Jones,0
Mr. Jeffrey Baxter,0
Paul Fuller-Patel,0
Dr. Michael Fox,0
Elliot Marshall,0
Dale Knight,0
Aimee Cooper,0
Aimee Cooper,0
Dr. Joyce Atkins,0
Donald Morgan,0
Bruce Harrison,0
Brett Marsh,0
Aimee Cooper,0
Fiona Wade,1
Mrs. Debra Harding,0
Roger Wilson,0
Melissa Williams,0
Ms. Grace Wells,0
Frederick Brown,1
Jake Roberts-Dale,0
Gordon Roberts,0
Nicola Evans,0
Dr. Jake Cooper,1
Liam Harper,0
Chelsea Hill,0
Bernard Brown,0
Dr. Roy Norris,0
Mathew Gibson,0
Miss Donna Smith,0
Jean Hewitt,0
Abbie Welch,0
Albert Jones-Conway,1
Rosemary Harris,1
Mr. Leon Phillips,0
Charles Cox,1
Joanne Adams,0
Declan Richardson-Jones,0
Toby Taylor,0
Miss Sandra Stevens,0
Amanda Thomas,1
Gerald Carter,0
Ms. Vanessa Smith,0
Chloe Chapman,1
Miss Alexandra Graham,0
Dr. Nicholas Phillips,1
Mr. Stanley Pearson,0
Gerard Hudson,0
Mathew Gibson,1
Christian Hawkins-Bentley,0
Kyle Jenkins-Fox,0
Dominic Stephenson-Potter,0
Hugh Chapman,0
Yvonne Gregory,1
Anne Payne,0
Kimberley Murray,0
Lawrence Moore,0
Ms. Charlene Vincent,0
Stephen Kelly,0
Mr. Elliot Kelly,0
Miss Paige Burrows,0
Eleanor Browne,0
Toby Richards,0
Connor Barker-Taylor,0
Kim Robinson,0
Mr. Howard Chapman,0
Janice Gill,0
Carole Wood,1
Chloe Cameron,0
Bradley Smith,0
Danielle Hudson,0
Duncan Walker,0
Dr. Pamela Chamberlain,0
Vanessa Hammond,0
Nathan Jones,1
Mr. Harry Simpson,0
Lydia Whitehouse,0
Mr. Henry Ali,1
Mr. George Jenkins,0
Alan May-Pearson,0
Lynda McCarthy,0
Mr. Peter Browne,0
Charlene Jones,0
Graham Collins-Pugh,0
Mrs. Janet Smith,0
Mr. Richard Andrews,1
Rosemary Harris,0
Miss Jean Johnson,1
Dr. Sarah Harrison,0
Katherine O'Brien,1
Christine Smith,1
Dr. Lindsey Evans,0
Sara Lee,0
Kelly Harrison,1
Dr. Lesley Thompson,0
Mrs. Jenna Turner,1
Sophie Douglas,0
Marc Bibi-Bell,0
Dr. Karl Mitchell,0
Mitchell Jarvis,0
Natalie King,0
Graeme Storey,0
Mr. Ronald Yates,0
Rebecca Ward,0
Judith Watkins,0
Lorraine Fox-Evans,0
Dr. Sara James,0
Lorraine Hughes,0
Dr. Frederick Wright,1
Mr. Harry Simpson,0
Mrs. Valerie Edwards,0
Rebecca Bryant,0
Lawrence Nicholson,0
Mrs. Deborah Franklin,0
Frank Marsden,0
Lorraine Hughes,0
Joel Pearson,0
Aaron Sheppard-Martin,1
Charlene Read,0
Jodie Glover,0
Mrs. Gail O'Connor,1
Paige Davies-Simpson,0
Zoe Vaughan-Turner,1
Alice Hussain,0
Georgia Horton-Freeman,1
Rebecca Hall,0
Frank Howard,1
Deborah Jones-Gibson,0
Kimberley Robertson-O'Connor,1
Lauren Allen-White,0
Mrs. Claire Hodgson,0
Joel Pearson,0
Mr. Tony Lewis,0
Toby Coleman,0
Susan Carr,1
Elliott Jones,0
Karen Sinclair-Grant,0
Judith Watkins,0
Peter Sutton,0
Adam Hill,0
Albert Crawford,1
Danielle Short,1
Mrs. Aimee Crawford,0
Dr. Russell Lewis,0
Jenna Jennings,0
Anne Payne,0
Bethany Byrne,0
Ms. Gail Hill,0
Derek Kelly-Barker,0
Luke Collier,0
Catherine John-Young,0
Douglas Murphy,0
Amber Saunders,1
Jonathan Webb,1
Derek Kelly-Barker,0
Janice Hale-Jones,0
Julie Welch,0
Charles Hughes,0
Mohammad Barker-Cross,0
Shirley Hughes,0
Lesley Hutchinson,0
Mr. Frank Wilson,1
Andrea Butler,0
Miss Nicole Baldwin,1
Dr. Ricky Fisher,0
Ian Baker,0
Janet Owen,0
Francis Andrews,1
Terence O'Connor,1
Mrs. Olivia Jones,0
Mrs. Olivia Jones,0
Eileen Smith,0
Janet Owen,0
Francis Andrews,1
Terence O'Connor,1
Marian Richards,0
Mrs. Olivia Jones,0
Mrs. Olivia Jones,1
Denis Johnson,0
Emily Bates,0
Kayleigh Walker,0
Hayley Carroll,1
Elliott Pugh-Williams,0
Robert Jones,0
Stacey Holden,0
Kathryn Wyatt-Carr,0
Joyce Jenkins,0
Victor Davidson,0
Cheryl Jones,0
Dr. Mohamed Phillips,1
Dr. Mohamed Phillips,0
Beth Jackson,0
Billy Bolton,1
Paul Fuller-Patel,0
Ronald Moore,0
Vincent Wright,0
Alison Lynch,1
Sally Roberts,1
Danielle Murray-Bell,0
Charles Harvey,0
Beth Jackson,0
Paige Clark,1
Damien Pearce,0
Dr. Jonathan Akhtar,0
Hayley Carroll,1
Kathleen Thomas,0
Dr. Alexandra Smith,0
Duncan Dawson-Green,1
Katie Bailey,0
Elaine Bray-Chapman,0
Dennis Davies,0
Matthew Howe-Freeman,1
Pamela Owens-Moran,1
Dr. Reece Smith,0
Shaun Fuller,1
Luke Collier,0
Dr. Geraldine Ali,0
Mr. Arthur Shah,1
Stacey Hamilton,0
Dr. Kenneth McDonald,0
Lauren Lambert,1
Mr. Timothy Clayton,0
Gerard Jones,0
Rachael Griffiths,1
Carol Doyle,0
Miss Katie Black,1
Suzanne Clark-Griffiths,0
Kelly Harrison,1
Mr. Jonathan Thompson,0
Hugh Foster,0
Marilyn Holden,0
Mrs. Dorothy Wall,0
Maurice James,0
Iain Brown-Taylor,1
Yvonne Garner,0
Miss Lesley Freeman,0
Dr. Janice Moss,0
Gordon Cunningham-Clark,0
Reece James,0
Rachael Griffiths,1
Natasha Hussain,0
Mr. Jonathan Thompson,0
Nigel Holland-Hurst,0
Tracey Owen,1
Miss Charlotte Williams,0
Anne Payne,0
Denise Parsons,0
Shaun Fuller,1
Hugh Foster,0
Maurice James,0
Bruce Morgan,0
Gordon Cunningham-Clark,0
Ms. Lesley Scott,0
Clare Patel,1
Anne Payne,0
Andrew Lane-Barry,0
Mrs. Margaret Nelson,1
Sean Green-Read,0
Clare Campbell-Gordon,0
Miss Janice Wells,0
Mohamed Welch,0
Joanne Holmes,1
Kyle Bull,0
Dr. Robin Newton,1
Dr. Julia Mills,1
Tony Cooper-Clarke,0
Mr. Brandon Davies,0
Andrew Lane-Barry,0
Denise Metcalfe,0
Kerry Pritchard-Hussain,0
Dr. Barry Johnson,0
Jessica Jones,1
Amy Stokes,1
Dr. John Reynolds,0
Dominic Taylor,1
Jonathan Webb,1
Paula Potts-Quinn,0
Charlie Woodward-Martin,0
Susan Franklin,0
Donna Taylor,0
Brett Edwards,0
Annette Owen-Thomas,0
Mr. Iain Sykes,0
Douglas Wilson-Simpson,0
Paula Potts-Quinn,0
Mr. Robert Watson,0
Elliott Pugh-Williams,0
Reece James,0
Harry Robinson,0
Danielle Hudson,0
Diane Johnson-Taylor,0
Marilyn Holden,0
Bethany Thomas-Roberts,0
Clifford Fox,0
James Davies,0
Ryan Andrews-Turner,1
Katherine Clarke,0
Miss Deborah Moore,0
Victoria Moore,0
Maureen Coleman,1
Alex Lamb,1
Leonard Gough-Vincent,0
Susan Bates,0
Nathan Jones,0
Callum Hopkins,0
Ann Jackson,0
Michelle Walker-Brooks,0
Ryan Wallis-Reynolds,1
Sarah Williams,0
Gemma Page-Hayes,0
Dylan Ahmed,0
Janice Yates,1
Craig Fletcher,0
Valerie Dodd,0
Andrea Murphy,0
Dr. Malcolm Elliott,0
Gary Cox,0
Jeremy Savage,0
Sylvia Roberts,0
Benjamin Norton,1
Ms. Jennifer Thomas,0
Vanessa Clarke-Lees,0
Jay Williams,0
Douglas Francis,0
Dennis Rose-Morgan,0
Luke Collier,0
June Rose,0
Melissa Spencer,1
Damien Lee-Singh,0
Lynne Alexander-Hill,1
Lynne Alexander-Hill,0
Jill Andrews-Greenwood,0
Lynda Yates,0
Diana Brookes,0
Karl Phillips,0
Ms. Leanne Harrison,0
Bethany Ball,0
Dorothy Brown,1
Nathan Jones,0
Alan Foster,0
Simon Williams,0
Dr. Sean Stevenson,0
Ms. Pauline Sinclair,1
Ms. Pauline Sinclair,1
Simon Williams,0
Simon Begum-Ward,0
Joel Flynn,0
Patrick Hughes,0
Geraldine Bibi,1
Hilary Brown-Wells,0
Dr. Sean Stevenson,1
Julie King,0
Dr. Paul Blake,0
Abdul Webb,1
Andrea Thomas,0
Natalie King,0
Andrew Thompson,0
Paula Bennett,0
Ellie Davies-Skinner,0
Joel Wilkinson,0
Ms. Rosie Schofield,0
Dr. Damien Williams,0
Ms. Janice Cooper,0
Miss Sandra Evans,0
Benjamin Higgins,0
June Rose,0
Ms. Catherine Stone,0
Nicole Collins,0
Douglas Wilson-Simpson,0
Mrs. Kathleen Taylor,0
Melissa Lamb,0
Kerry Pritchard-Hussain,0
Vanessa Carter,0
Vanessa Carter,0
Damian Pearson,0
Elliot Welch,0
Mr. Leon Shaw,0
Dr. Stanley Duncan,0
June Green,0
Wendy Conway,0
Jill Cox-Smith,0
Shaun Smart-Martin,0
Dr. Damien Williams,0
Miss Sandra Evans,0
Ricky Rogers,0
Benjamin Norton,1
Lynne Rees,0
Dr. Joe Osborne,0
Mr. Wayne Moore,0
Iain Brown-Taylor,1
Nicole Collins,0
Nicole Collins,0
Dr. Stacey Barnes,0
Benjamin Norton,0
Ms. Valerie Saunders,0
Chelsea Smith-Cox,0
Toby Coleman,0
Dale Scott,0
Annette Perkins,1
Justin Jones,1
Ann Jackson,0
Martin Wilson,0
Natasha Jones,1
Mr. Raymond Potts,0
Chelsea Scott,1
Lynne Rees,0
Gerard Gordon,0
Pamela Owens-Moran,1
Mr. Bernard Hutchinson,1
Dr. Bethan Newton,0
Lindsey Goodwin,0
Norman Thomas,1
Ruth Green,0
Nathan Baker,0
Mrs. Sally Walker,1
Abdul Middleton,0
Miss Jodie Gordon,0
Pamela Owens-Moran,1
Dr. Alison Little,1
Elizabeth Harrison-Davis,0
Sylvia Wilson,0
Pamela Owens-Moran,1
Adrian Frost,0
Kathleen Thomas,0
Kathleen Wallis,0
Abdul Phillips,0
Dr. Sarah Turner,0
Ms. Tina Hopkins,0
Ms. Gemma Parker,0
Tom Robinson,0
Victoria Harper,1
Mr. Wayne Riley,0
Marcus Price,0
Ronald Wood,0
Ronald Wood,1
Ronald Wood,0
Gemma Young-Phillips,0
Antony Bennett,0
Janet Owen,1
Jenna King,0
Chelsea Scott,0
Hazel Dennis,0
Mrs. Judith Brown,0
Ms. Grace Wells,0
Peter Sutton,0
Albert Crawford,1
Nigel Archer-Hicks,0
Louis Cooper,1
Lynn Dixon,1
Raymond Parker,1
Kirsty Day,0
Graham Collins-Pugh,0
Callum Smith,1
Carolyn Hale,0
Tom Robinson,0
Graeme Scott-Gibbons,0
Jean Brown,0
Howard Elliott-Evans,0
Clare Patel,1
Dr. Jessica George,0
Karl Anderson-Smith,0
Benjamin Kelly,1
Mrs. Kathryn Black,1
Phillip Rees,1
Benjamin Brown-Evans,0
Marc Booth,0
Nathan Jones,1
Leigh Bell,0
Leonard Phillips-Wells,1
Mohamed Woodward,0
Dr. Wayne Barry,0
Dr. Harriet Martin,1
Linda Moore,0
Miss Paige Burrows,1
Mrs. Abigail Harris,0
Mrs. Abigail Harris,0
Mrs. Abigail Harris,0
Mrs. Abigail Harris,0
Jessica Jones,1
Trevor Williams,1
Danielle Short,1
Zoe Vaughan-Turner,1
Nigel Archer-Hicks,0
Matthew Smith-Barlow,0
Mandy Shaw,0
Abdul Hamilton,0
Jessica Jones,0
Joanna James,0
Darren Taylor-Allan,0
Jennifer Freeman-Barrett,0
Elaine Hawkins,1
Kelly Gibson,0
Andrea Thomas,0
Beth Williams,0
Karl Thomas,0
Naomi Bates-Thomas,0
Dr. Christopher Saunders,0
Dr. Christopher Saunders,0
Trevor Williams,1
Alexander Miles,0
Ms. Ellie Murray,0
Nicholas Johnston,0
Gregory Taylor,1
Abdul Hamilton,0
Sara Lee,0
Andrew Brown,0
Leonard King,0
Leonard King,1
Raymond Parker,1
Mr. Tony Lewis,0
Alex Jones,0
Pamela O'Connor-Elliott,0
Josephine Ford,0
Alexandra Doherty,0
Simon Howard-Talbot,0
Dr. Declan Smart,0
Diana Berry,0
Ms. Christine Knight,0
Rita Graham,0
Mr. Brett Kelly,0
Teresa Ward,0
Ryan Andrews-Turner,1
Gavin Payne,0
Victoria Harper,1
Teresa Curtis,0
Francesca Nolan,0
Rita Simmons,1
Leonard Gough-Vincent,0
Josephine Nicholson-Kennedy,0
Simon Howard-Talbot,0
Ricky Bartlett,0
Leslie Smith,1
Peter Black,0
Dr. Sarah Turner,0
Mohammed Cook,1
Dr. Hilary Smith,0
Lynda McCarthy,0
Mary Clark,0
Kenneth Stevens,0
Sandra Anderson,0
Victor Stokes,0
Kayleigh White,0
Rita Graham,0
Mohammed Cook,1
Martyn Bishop,0
Denis Moore,1
Mrs. Anne Dunn,0
Denis Moore,0
Dr. Stuart Johnson,0
Vanessa Jones,0
Joseph Lee,0
Chloe Chapman,1
Judith Patel,0
Brandon Gibson,1
Jay Rose-Berry,1
Kevin Murray,0
Denise Jones,0
Oliver Robinson,0
Abdul Harris,1
Joanne Lyons,0
Anne Collins-Barber,0
Ms. Katy Smith,0
Tina Anderson,0
Mrs. Jacqueline Webb,0
Alex Clark,0
Mrs. Brenda Howell,0
Michelle Bailey,1
Gerald Wood,0
Mrs. Kerry Hudson,0
Sally Hughes-Taylor,0
Holly Smith-Ahmed,0
Rachel Ali-Baker,0
James Matthews,0
Gemma Young-Phillips,0
Mr. Lee Cox,0
Gregory King,0
Barbara Howard,0
Natalie Harrison,0
Rosie Andrews-Richards,0
Harry Kaur,0
Amy Brennan,0
Alexander Harper,0
Dr. Rita Townsend,0
Kenneth Banks,0
Dr. Roy Norris,0
Mrs. Debra Harding,0
Mr. Arthur Burke,0
Marian Day,0
Dr. Luke Marsh,1
Wayne Barnes,1
James Marshall-Manning,0
Kerry Roberts,0
Aimee Crawford,0
Yvonne Green,0
Marian Brennan,0
Marie Barrett,0
Mr. Robert Chambers,0
Dennis Birch,0
Gemma Robinson,0
Dr. Stuart Johnson,0
Cameron Woods,0
Mrs. Jasmine Lynch,1
